,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
17,0.4305896759033203,0.02141618247249369,0.13264687856038412,0.006731226685170352,1,scale,poly,"{'C': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.8833922261484098,0.901060070671378,0.9190140845070423,0.9011554604422768,0.01454271920095898,1
21,0.5424633820851644,0.018269551603192546,0.1895273526509603,0.005895158679818545,1,auto,poly,"{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}",0.8763250883392226,0.8798586572438163,0.9049295774647887,0.887037774349276,0.012733394188617702,2
9,0.5054822762807211,0.0076520864600559315,0.1953462759653727,0.016430508755738867,0.1,scale,poly,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.8763250883392226,0.8798586572438163,0.9049295774647887,0.887037774349276,0.012733394188617702,2
18,0.4288673400878906,0.01664799443138989,0.13982335726420084,0.015643161605500392,1,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.8798586572438163,0.8798586572438163,0.897887323943662,0.8858682128104315,0.008498794986141997,4
22,0.4367356300354004,0.029293259773344415,0.1414171059926351,0.00831910068548518,1,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.8798586572438163,0.8798586572438163,0.897887323943662,0.8858682128104315,0.008498794986141997,4
