Date,Open,High,Low,Close,Volume
2019-01-01,297.5,300.700012,293.850006,299.600006,11837127.0
2019-01-02,299.100006,302.5,293.100006,293.899994,25559853.0
2019-01-03,295.0,295.549988,290.100006,291.100006,17548347.0
2019-01-04,292.100006,299.0,291.5,297.649994,19514041.0
2019-01-07,301.049988,301.5,295.200012,296.299988,14579399.0
2019-01-08,295.799988,306.0,294.75,305.299988,22949961.0
2019-01-09,306.0,307.100006,300.75,305.299988,21109911.0
2019-01-10,305.100006,307.5,303.5,305.549988,16295468.0
2019-01-11,305.399994,306.200012,300.950012,302.75,12702551.0
2019-01-14,301.0,303.600006,299.549988,300.399994,10372933.0
2019-01-15,302.0,303.600006,301.100006,301.649994,9444374.0
2019-01-16,303.0,306.649994,302.100006,303.149994,12111480.0
2019-01-17,303.899994,304.350006,295.600006,297.399994,15974634.0
2019-01-18,298.75,299.850006,294.25,294.950012,9082501.0
2019-01-21,295.899994,296.75,291.450012,292.450012,10188647.0
2019-01-22,293.0,293.0,288.200012,290.25,11297989.0
2019-01-23,290.450012,292.950012,285.5,286.649994,10304608.0
2019-01-24,286.649994,289.899994,285.5,288.049988,11532528.0
2019-01-25,289.600006,291.0,283.200012,285.399994,11121223.0
2019-01-28,285.649994,286.600006,277.299988,281.600006,18905470.0
2019-01-29,281.0,286.0,276.549988,280.600006,17435611.0
2019-01-30,281.200012,289.399994,280.25,287.450012,18908654.0
2019-01-31,290.0,294.799988,288.0,293.649994,25546487.0
2019-02-01,296.899994,302.700012,282.0,284.399994,60015958.0
2019-02-04,282.399994,285.200012,277.850006,283.950012,20642919.0
2019-02-05,284.200012,287.0,283.0,284.649994,13291133.0
2019-02-06,285.850006,289.75,283.5,289.049988,12149759.0
2019-02-07,289.399994,294.0,286.600006,287.399994,19733315.0
2019-02-08,285.600006,288.0,282.200012,286.0,19781908.0
2019-02-11,285.950012,285.950012,280.0,280.5,15420017.0
2019-02-12,280.649994,282.200012,274.649994,275.399994,15326106.0
2019-02-14,268.0,268.350006,263.649994,267.100006,26372671.0
2019-02-15,268.850006,268.850006,261.299988,262.950012,23366091.0
2019-02-18,264.399994,265.5,258.799988,259.950012,14781744.0
2019-02-19,260.899994,267.5,260.299988,262.899994,19064306.0
2019-02-20,264.5,268.299988,264.299988,267.700012,15514595.0
2019-02-21,270.299988,271.0,267.299988,268.0,13760702.0
2019-02-22,267.899994,271.899994,267.600006,270.950012,12536918.0
