All_Poverty,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,falling,rising,stable,M_poverty_frac,F_poverty_frac,All_poverty_frac,M_with_frac,F_with_frac,All_with_frac,M_without_frac,F_without_frac,All_without_frac
121029,52750,68279,45610.0,60497.0,31867.0,35396.0,55052.0,34768.0,266456,40710,307962,36469,574418,77179,65.1,482.0,51.5,381.0,1.0,0.0,0.0,17173.124629679067,19823.709248006133,18574.21074682664,86746.580025133,89411.81252558567,88155.40894141624,13253.419974867009,10588.187474414324,11844.591058583756
16232,6772,9460,43125.0,45208.0,25992.0,22697.0,59750.0,36034.0,38885,5228,42682,5167,81567,10395,69.3,87.0,56.8,71.0,0.0,0.0,1.0,15351.483689615307,19770.52811970992,17650.768795806965,88148.61832112982,89201.44621622187,88696.41808573107,11851.381678870173,10798.553783778136,11303.581914268936
6225,2780,3445,40003.0,40061.0,30417.0,50372.0,28472.0,28482.0,14223,2042,15306,1773,29529,3815,88.1,37.0,70.0,29.0,0.0,0.0,1.0,17091.915155241317,20170.970197318344,18669.025911708253,87445.43498309253,89618.83014228,88558.66122840691,12554.56501690747,10381.169857720008,11441.338771593091
46436,21195,25241,57993.0,66922.0,35950.0,49044.0,64365.0,43009.0,145531,20878,156037,19760,301568,40638,64.8,236.0,50.4,179.0,1.0,0.0,0.0,12736.690924168764,14358.037964242849,13569.604273449326,87453.8035803352,88759.76268081936,88124.69682004408,12546.1964196648,11240.237319180645,11875.303179955932
5960,2805,3155,32299.0,32698.0,27727.0,70972.0,36010.0,35757.0,12619,1902,13590,1618,26209,3520,74.2,33.0,51.7,23.0,0.0,0.0,1.0,19316.85145651126,20745.660178853235,20047.76480877258,86901.7285310929,89360.86270384009,88159.70937468465,13098.2714689071,10639.137296159915,11840.290625315349
77917,31927,45990,43809.0,53398.0,28066.0,42353.0,48063.0,40875.0,163094,28997,185337,28790,348431,57787,75.4,347.0,63.3,289.0,0.0,0.0,1.0,16620.76828169982,21477.90797050349,19181.080109694794,84904.55044744418,86554.70818719732,85774.38715172642,15095.44955255582,13445.291812802681,14225.612848273586
49918,21699,28219,44369.0,61342.0,34180.0,61684.0,72083.0,39923.0,88803,15281,105296,13407,194099,28688,61.0,144.0,49.9,117.0,1.0,0.0,0.0,20847.584643172824,23772.777436122087,22406.154757683347,85318.58883209716,88705.42446273472,87123.12657381265,14681.411167902847,11294.575537265275,12876.873426187343
18936,7640,11296,45751.0,48739.0,25944.0,101364.0,62917.0,34331.0,48705,9071,51963,8345,100668,17416,80.4,116.0,60.5,88.0,0.0,0.0,1.0,13223.483799501522,18730.516681037345,16036.04213949392,84299.70922182221,86162.69814949924,85251.17712814607,15700.290778177789,13837.301850500764,14748.822871853934
16693,7492,9201,70187.0,72574.0,58780.0,61964.0,81713.0,40143.0,88004,9927,95944,7945,183948,17872,57.1,108.0,47.3,88.0,0.0,0.0,1.0,7650.284383902953,8856.56806784164,8271.231790704587,89863.27107861658,92352.41459634803,91144.58428302448,10136.728921383423,7647.585403651974,8855.415716975524
17950,7613,10337,35155.0,40996.0,24692.0,28681.0,129936.0,33661.0,32170,5151,36501,4860,68671,10011,74.0,74.0,61.0,61.0,0.0,0.0,1.0,20398.7031430026,24992.142356326007,22813.34994026588,86198.11902146245,88249.80053673752,87276.63252077985,13801.880978537554,11750.199463262494,12723.367479220151
36274,15124,21150,46565.0,55568.0,31879.0,37361.0,42649.0,39005.0,85157,10782,93413,9656,178570,20438,72.3,135.0,54.4,100.0,0.0,0.0,1.0,15764.183491593616,20520.23401798795,18227.40794339926,88761.60893901334,90631.5186913621,89730.06110307123,11238.391060986669,9368.481308637902,10269.938896928767
28804,13213,15591,56239.0,55511.0,56509.0,44457.0,81290.0,43154.0,100609,16255,105249,14411,205858,30666,56.4,129.0,47.0,106.0,0.0,0.0,1.0,11306.304764512595,13029.416680595019,12178.045356919383,86090.66949616648,87956.71068026074,87034.7195210634,13909.330503833517,12043.289319739262,12965.280478936596
19715,8920,10795,42475.0,45806.0,23202.0,25074.0,58452.0,27139.0,40807,8090,44480,7051,85287,15141,74.6,74.0,49.2,48.0,0.0,0.0,1.0,18242.427960815592,20948.555238594243,19630.97940813319,83455.01769024685,86316.9742485106,84923.52730314256,16544.98230975315,13683.025751489395,15076.47269685745
11304,5456,5848,41268.0,41283.0,26806.0,56176.0,40417.0,28695.0,25253,4761,27005,4175,52258,8936,79.1,56.0,61.8,43.0,0.0,0.0,1.0,18178.183514359967,18755.61257216164,18472.399254828906,84137.40254547878,86610.0064143682,85397.26116939569,15862.597454521225,13389.993585631815,14602.738830604309
5574,2492,3082,34139.0,35176.0,12500.0,33333.0,32917.0,30070.0,10777,1961,11377,1613,22154,3574,97.2,29.0,67.9,20.0,1.0,0.0,0.0,19563.5107552206,23725.943033102387,21665.111940298506,84605.11854294238,87582.75596612779,86108.51990049751,15394.881457057625,12417.244033872208,13891.480099502487
11818,5525,6293,39810.0,40302.0,37102.0,35536.0,63233.0,32760.0,26407,4371,27067,4343,53474,8714,86.3,59.0,72.5,49.0,0.0,0.0,1.0,17951.133926830855,20035.02069404648,19003.666302180485,85798.29748521671,86173.19325055715,85987.65035054994,14201.702514783288,13826.806749442852,14012.349649450054
67908,30871,37037,46140.0,56369.0,31768.0,34158.0,62254.0,33789.0,155362,28215,177974,23280,333336,51495,68.0,277.0,54.7,223.0,0.0,0.0,1.0,16816.376779226157,18403.1124847208,17646.187547261005,84630.42755900793,88432.52804913194,86618.80149987918,15369.572440992064,11567.471950868057,13381.198500120834
10176,4896,5280,55817.0,57215.0,43631.0,28546.0,58375.0,51443.0,48403,6658,52131,5374,100534,12032,73.9,100.0,52.0,69.0,0.0,0.0,1.0,8891.956194039338,9181.810277367185,9040.029849155162,87907.95662991954,90654.72567602817,89311.15967521277,12092.043370080457,9345.27432397183,10688.840324787236
28975,12570,16405,38575.0,40849.0,21563.0,44592.0,42732.0,29090.0,52036,9869,54137,10109,106173,19978,78.2,108.0,62.1,85.0,0.0,0.0,1.0,20305.306518051853,25534.663636646637,22968.505996781634,84057.83054680559,84265.16825950253,84163.42319918193,15942.16945319441,15734.831740497462,15836.576800818068
8172,3577,4595,38678.0,48060.0,26845.0,33571.0,71339.0,30792.0,16488,2920,17939,2885,34427,5805,89.0,46.0,71.6,38.0,0.0,0.0,1.0,18430.544105523495,22065.885516711485,20312.18930204812,84954.65787304204,86145.7933154053,85571.18711473454,15045.342126957956,13854.206684594697,14428.81288526546
41846,19505,22341,43524.0,46302.0,31528.0,27794.0,50938.0,36705.0,89087,18167,92453,14933,181540,33100,67.1,119.0,52.7,91.0,0.0,0.0,1.0,18185.801928133216,20804.38790903842,19495.900111815132,83061.7039923919,86094.09047734342,84578.82966828177,16938.296007608107,13905.909522656584,15421.170331718225
25852,12854,12998,31757.0,42488.0,31761.0,25600.0,59632.0,34178.0,25743,9201,28542,7852,54285,17053,22.9,16.0,17.7,12.0,0.0,1.0,0.0,36784.569597069596,35714.67824366654,36238.750735933165,73669.29945054946,78425.01511238115,76095.48908015364,26330.700549450547,21574.98488761884,23904.510919846365
